id,type,question,options,correct
75,capitals,Какая столица у Республики Конго?,Пуэнт-Нуар;Браззавиль;Долизи;Нкайи,Браззавиль
76,capitals,Какая столица у Камеруна?,Дуала;Яунде;Гаруа;Бафусам,Яунде
77,capitals,Какая столица у Кот-д’Ивуара?,Абиджан;Ямусукро;Буаке;Сан-Педро,Ямусукро
78,capitals,Какая столица у Сенегала?,Тиес;Дакар;Сен-Луи;Зигиншор,Дакар
79,capitals,Какая столица у Мали?,Бамако;Сикассо;Мопти;Томбукту,Бамако
80,capitals,Какая столица у Буркина-Фасо?,Бобо-Диуласо;Уагадугу;Кудугу;Вахигуя,Уагадугу
81,capitals,Какая столица у Гвинеи?,Конакри;Нзерекоре;Канкан;Лабе,Конакри
82,capitals,Какая столица у Чада?,Нджамена;Мунду;Сарх;Абеше,Нджамена
83,capitals,Какая столица у Нигера?,Зиндер;Ниамей;Маради;Тахуа,Ниамей
84,capitals,Какая столица у Мавритании?,Нуакшот;Нуадибу;Атар;Каэди,Нуакшот
85,capitals,Какая столица у Мальты?,Валлетта;Биркиркара;Слима;Сент-Джулианс,Валлетта
86,capitals,Какая столица у Кипра?,Лимасол;Никосия;Ларнака;Пафос,Никосия
87,capitals,Какая столица у Люксембурга?,Люксембург;Эш-сюр-Альзетт;Дифферданж;Дюделанж,Люксембург
88,capitals,Какая столица у Андорры?,Андорра-ла-Велья;Эскальдес-Энгордань;Сант-Жулия-де-Лория;Энкамп,Андорра-ла-Велья
89,capitals,Какая столица у Монако?,Монако;Монте-Карло;Ла-Кондамин;Фонвьей,Монако
90,capitals,Какая столица у Лихтенштейна?,Вадуц;Шан;Тризен;Бальцерс,Вадуц
91,capitals,Какая столица у Сан-Марино?,Сан-Марино;Борго-Маджоре;Серравалле;Фьорентино,Сан-Марино
92,capitals,Какая столица у Азербайджана?,Гянджа;Баку;Сумгаит;Мингечевир,Баку
93,capitals,Какая столица у Армении?,Гюмри;Ереван;Ванадзор;Абовян,Ереван
94,capitals,Какая столица у Грузии?,Кутаиси;Тбилиси;Батуми;Рустави,Тбилиси
95,capitals,Какая столица у Узбекистана?,Самарканд;Ташкент;Наманган;Андижан,Ташкент
96,capitals,Какая столица у Туркменистана?,Туркменабат;Ашхабад;Дашогуз;Мары,Ашхабад
97,capitals,Какая столица у Таджикистана?,Худжанд;Душанбе;Куляб;Бохтар,Душанбе
98,capitals,Какая столица у Киргизии?,Ош;Бишкек;Джалал-Абад;Каракол,Бишкек
99,capitals,Какая столица у Афганистана?,Кандагар;Кабул;Герат;Мазари-Шариф,Кабул
100,capitals,Какая столица у Непала?,Покхара;Катманду;Биратнагар;Лалитпур,Катманду
